[2023-01-04T09:19:06.210970+00:00] name.WARNING: Foo [] []
[2023-01-04T09:19:06.242079+00:00] name.ERROR: Bar [] []
[2023-01-04T09:26:37.910450+00:00] name.ERROR: Nutiko klaida! [] []
[2023-01-04T09:26:46.983435+00:00] name.ERROR: Nutiko klaida! [] []
[2023-01-04T09:39:23.737505+00:00] name.ERROR: Nutiko klaida! [] []
[2023-01-04T09:39:24.420639+00:00] name.ERROR: Nutiko klaida! [] []
[2023-01-09T10:56:55.432524+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:56:57.807078+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:56:57.854956+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:56:57.901139+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:56:58.096333+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:56:59.804229+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:56:59.856306+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:56:59.905131+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:57:00.113296+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:57:27.548328+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:57:27.600003+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:57:27.652437+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:57:27.873846+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:57:34.688763+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:57:34.930808+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:57:43.109740+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:57:45.838918+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:57:45.884601+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:57:45.932198+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:57:46.271582+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:57:47.929843+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:57:47.981503+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:57:48.029243+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:57:48.239962+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:57:53.042424+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:57:53.271654+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:58:10.518969+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:58:10.572923+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:58:10.653868+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:58:10.897446+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:58:12.860476+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:58:12.911403+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:58:12.962158+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:58:13.252979+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T11:01:56.788536+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T11:01:56.866130+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T11:01:57.119035+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T11:02:04.142680+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T11:02:04.366534+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T11:02:10.094304+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T11:02:10.175268+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T11:02:10.413549+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T11:02:40.523030+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T11:02:40.600896+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T11:02:40.842556+00:00] Portfolio.WARNING: 404 [] []
